"school_id","nces_id","school_type","year"
635,"261740001319 (parent school)","Public district school",2023
637,"510225003046","Public district school",2024
638,NA,"Public charter school",2023
639,NA,"Independent (private) school",2025
640,"40098803680","Public charter school",2024
643,NA,"Public charter school",2025
649,"262912006499","Public district school",2023
650,"261740005416","Public district school",2023
651,"260769004354","Public district school",2023
652,"262912006497","Public district school",2023
653,"063543014549","Public district school",2023
654,"500324000087","Public district school",2025
655,NA,"Independent (private) school",2023
656,"370502002002","Public district school",2023
657,"370150002451","Public district school",2024
658,"481800001591","Public district school",2023
659,"00259009","Independent (private) school",2023
660,"360008806259","Public district school",2023
662,"A1990177","Independent (private) school",2023
663,"110011600545","Public charter school",2023
664,NA,"Public charter school",2025
665,NA,"Public charter school",2023
666,"110011400538","Public charter school",2024
668,NA,"Independent (private) school",2023
669,"450276000745","Public district school",2024
672,"130174004159","Public charter school",2023
674,"250279000695","Public district school",2023
676,"330248000065","Public district school",2023
678,"110008400440","Public charter school",2023
679,"530591003746","Public district school",2024
680,NA,"Independent (private) school",2025
681,NA,"Independent (private) school",2023
683,NA,"Independent (private) school",2025
685,"530591003747","Public district school",2023
686,NA,"Public district school",2024
688,"010021302528","Public charter school",2023
690,"350017801138","Public charter school",2025
691,NA,"Public charter school",2025
693,"180022302708","Public charter school",2025
694,"60256214589","Public charter school",2024
697,"340079203419","Public charter school",2023
699,"420228007623","Public district school",2025
703,"530034703723","Public charter school",2024
704,NA,"Public charter school",2024
707,NA,"Public charter school",2025
708,"270048405570","Public charter school",2023
709,NA,"Public district school",2025
710,"60218314124","Public charter school",2024
712,"251113001806","Public district school",2023
714,"290061503364","Public charter school",2023
715,"100005000342","Public charter school",2023
720,"470159002652","Public charter school",2023
724,"180021800834","Public charter school",2023
727,"483897013738","Public district school",2024
729,"481623013841","Public district school",2025
731,"180019202640","Public charter school",2023
739,"530035403782","Public charter school",2023
740,"530034803749","Public charter school",2023
743,"360122706735","Public charter school",2023
745,"250354002890","Public district school",2023
746,NA,"Public district school",2025
747,"440002400483","Public charter school",2023
748,"360117106637","Public charter school",2023
749,"360121806716","Public charter school",2023
752,NA,"Public charter school",2023
753,NA,"Public district school",2025
754,"040752001036","Public district school",2023
756,"40963001388","Public district school",2025
757,"40963003076","Public district school",2025
759,NA,"Public charter school",2025
760,NA,"Public district school",2024
764,"80336006821","Public district school",2024
765,NA,"Public charter school",2025
767,"180021402689","Public charter school",2025
768,NA,"Independent (private) school",2025
770,"A1992179","Independent (private) school",2025
771,"A1990541","Independent (private) school",2023
772,"BB081524","Independent (private) school",2024
775,"40633003509","Public district school",2024
776,"040633003701","Public district school",2023
777,"450391101720","Public district school",2023
778,NA,"Public district school",2025
780,"500459000093","Public district school",2025
782,"A1900804","Independent (private) school",2025
783,"250279002753","Public district school",2023
784,"090231000424","Public district school",2023
785,"440072000159","Public district school",2023
786,"060243913939","Public charter school",2023
787,"420471004203","Public district school",2023
792,"290061603362","Public charter school",2024
795,"00089169","Independent (private) school",2023
796,"470014802544","Public charter school",2023
799,NA,"Public charter school",2023
800,"470015702437","Public charter school",2024
802,"370002202089","Public charter school",2024
804,"40423000653","Public district school",2025
805,"470014801025","Public charter school",2025
807,"550210003093","Public charter school",2025
809,NA,"Independent (private) school",2024
810,"150003000265","Public charter school",2024
811,"160017501082","Public charter school",2024
813,"180017002610","Public charter school",2024
814,NA,"Independent (private) school",2025
815,"40097803585","Public charter school",2025
816,"40068003517","Public district school",2024
818,"40040702404","Public charter school",2025
823,"233206","Independent (private) school",2024
824,NA,"Public district school",2025
825,NA,"Independent (private) school",2024
831,NA,"Independent (private) school",2024
834,"360007803603","Independent (private) school",2024
839,"170993006035","Public charter school",2025
842,"490072001271","Public district school",2024
843,"40497000419","Public district school",2025
844,"370150000615","Public district school",2025
845,"251005001659","Public district school",2024
846,"250253000154","Public district school",2024
847,"370502002003","Public district school",2024
850,NA,"Independent (private) school",2025
853,"160017200846","Public charter school",2025
857,"51113002917","Public district school",2025
863,"60146613973","Public charter school",2025
876,NA,"Independent (private) school",2024
878,"390437504417","Public district school",2025
883,NA,"Independent (private) school",2025
890,"A2100935","Independent (private) school",2024
899,"1282139","Independent (private) school",2025
900,"40497000406","Public district school",2025
901,"A2192191","Independent (private) school",2025
909,"160015901017","Public charter school",2024
917,NA,"Independent (private) school",2024
918,"350006001040","Public charter school",2025
921,"A1903406","Independent (private) school",2024
923,"483873013447","Public district school",2025
925,"231482000710","Public district school",2025
936,NA,"Public district school",2024
937,NA,"Public district school",2025
938,NA,"Independent (private) school",2024
986,"A2102873","Independent (private) school",2025
990,NA,"Independent (private) school",2025
991,NA,"Independent (private) school",2025
992,"160019301121","Public charter school",2025
994,"292067001124","Public district school",2025
995,"260105108518","Public charter school",2025
997,"370002902321","Public charter school",2025
1000,"210186002341","Public district school",2025
1001,"261983008230","Public district school",2025
1002,NA,"Independent (private) school",2025
1003,"500044400256","Public district school",2025
1008,"551365002859","Public charter school",2025
1010,"410000901734","Public charter school",2025
1013,"402938002727","Public district school",2025
1014,NA,"Public district school",2025
1015,"530034303611","Public charter school",2025
